timestamp,zone_id,operator_name,interval_count,moved_50m_count,moved_200m_count,avg_distance_m,median_distance_m,avg_speed_kmph,avg_battery_delta
2026-06-12T06:24:31+0900,grid_8087_22790,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8087_22791,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8087_22792,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8088_22791,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8089_22790,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8090_22789,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8090_22791,ALPACA,4,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8090_22792,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8091_22788,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8091_22789,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8091_22790,ALPACA,6,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8091_22791,ALPACA,29,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8091_22792,ALPACA,8,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8091_22798,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8092_22788,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8092_22789,ALPACA,7,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8092_22790,ALPACA,18,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8092_22791,ALPACA,10,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8092_22798,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8093_22789,ALPACA,18,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8093_22790,ALPACA,15,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8093_22791,ALPACA,35,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8093_22792,ALPACA,15,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8093_22793,ALPACA,15,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8093_22796,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8093_22797,ALPACA,15,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8093_22801,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8094_22789,ALPACA,13,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8094_22790,ALPACA,24,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8094_22791,ALPACA,18,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8094_22792,ALPACA,16,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8094_22793,ALPACA,14,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8094_22794,ALPACA,6,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8094_22795,ALPACA,16,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8094_22796,ALPACA,32,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8094_22797,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8094_22798,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8095_22789,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8095_22790,ALPACA,16,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8095_22791,ALPACA,11,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8095_22792,ALPACA,20,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8095_22793,ALPACA,4,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8095_22794,ALPACA,23,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8095_22796,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8095_22797,ALPACA,2,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8096_22786,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8096_22790,ALPACA,1,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8096_22791,ALPACA,34,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8096_22792,ALPACA,17,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8096_22794,ALPACA,4,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8096_22795,ALPACA,16,0,0,0.0,0.0,0.0,0.0
2026-06-12T06:24:31+0900,grid_8097_22786,ALPACA,1,0,0,0.0,0.0,0.0,0.0
